Chave,Latitude,Longitude
ALTO PARANA - PR,-23.131247,-52.318893
PIRAQUARA - PR,-25.4423273,-49.0604473
TANGUA - RJ,-22.7353777,-42.7202272
AQUIDAUANA - MS,-20.473969,-55.7821375
BUJARI - AC,-9.8309656,-67.9520886
ULIANOPOLIS - PA,-3.7575266,-47.5009377
SAO VICENTE - SP,-23.9664177,-46.3861401
CAMPOS DOS GOYTACAZES - RJ,-21.7546,-41.3242
PALMAS - PR,-26.483868,-51.988812
DIAMANTINA - MG,-18.2440862,-43.6006487
CESARIO LANGE - SP,-23.226035,-47.954453
CAMPOS DO JORDAO - SP,-22.738299,-45.5903769
BREJETUBA - ES,-20.1465817,-41.2902303
SALGUEIRO - PE,-8.0726731,-39.1269719
TOLEDO - PR,-24.7222438,-53.7402476
AVARE - SP,-23.1045215,-48.9259103
CASIMIRO DE ABREU - RJ,-22.4756154,-42.1522235
UNIAO DOS PALMARES - AL,-9.1576807,-36.0342251
RIO NEGRINHO - SC,-26.259075,-49.517746
PRAIA GRANDE - SP,-24.008979,-46.4144939
TEOFILO OTONI - MG,-17.8579267,-41.5081533
FORQUILHINHA - SC,-28.7487602,-49.4737661
SANTO ANTONIO DO ARACANGUA - SP,-20.864,-50.5676414
POMPEU - MG,-19.218611,-45.002778
LINHARES - ES,-19.3796775,-40.0610087
CAPIVARI DO SUL - RS,-30.1437605,-50.5129169
PLANALTINA DO PARANA - PR,-23.0228724,-52.9160307
ALVINOPOLIS - MG,-20.1105199,-43.0601805
SERRA REDONDA - PB,-7.1867108,-35.679795
SAO ROQUE - SP,-23.5304843,-47.1355473
CURITIBA - MA,-5.7210847,-46.6235423
MISSAO VELHA - CE,-7.248491,-39.1434843
NOVA ESPERANCA - PR,-23.1818437,-52.1999852
MARIANA - MG,-20.3781468,-43.4174862
PONTE NOVA - MG,-20.4164353,-42.90878
BARRA DO RIBEIRO - RS,-30.2925989,-51.3033906
ITAPIRA - SP,-22.436111,-46.821667
BREU BRANCO - PA,-3.7785073,-49.5684795
MARICA - RJ - RJ,-22.9088759,-42.8171914
SENADOR CANEDO - GO,-16.7013233,-49.0914921
MANGARATIBA - RJ,-22.9415964,-44.1181916
